Area,Month,Rainfall
Chamba,1969-3-1,19.2
Chamba,1969-4-1,6.435
Chamba,1969-5-1,15.881
Chamba,1969-6-1,61.18
Chamba,1969-7-1,60.392
Chamba,1969-8-1,194.53
Chamba,1969-9-1,67.417
Chamba,1969-10-1,8.279
Chamba,1969-11-1,0
Chamba,1969-12-1,0.415
Chamba,1970-1-1,3.909
Chamba,1970-2-1,20.02
Chamba,1970-3-1,5.464
Chamba,1970-4-1,39.964
Chamba,1970-5-1,80.365
Chamba,1970-6-1,105.589
Chamba,1970-7-1,201.887
Chamba,1970-8-1,284.643
Chamba,1970-9-1,50.007
Chamba,1970-10-1,18.734
Chamba,1970-11-1,0
Chamba,1970-12-1,0.214
Chamba,1971-1-1,20.688
Chamba,1971-2-1,28.837
Chamba,1971-3-1,54.095
Chamba,1971-4-1,10.108
Chamba,1971-5-1,47.538
Chamba,1971-6-1,21.491
Chamba,1971-7-1,151.84
Chamba,1971-8-1,154.884
Chamba,1971-9-1,255.941
Chamba,1971-10-1,46.338
Chamba,1971-11-1,18.891
Chamba,1971-12-1,16.38
Chamba,1972-1-1,45.263
Chamba,1972-2-1,29.84
Chamba,1972-3-1,33.748
Chamba,1972-4-1,21.979
Chamba,1972-5-1,23.896
Chamba,1972-6-1,82.077
Chamba,1972-7-1,195.482
Chamba,1972-8-1,387.662
Chamba,1972-9-1,87.909
Chamba,1972-10-1,11.338
Chamba,1972-11-1,0
Chamba,1972-12-1,22.307
Chamba,1973-1-1,58.625
Chamba,1973-2-1,57.481
Chamba,1973-3-1,27.876
Chamba,1973-4-1,2.85
Chamba,1973-5-1,35.099
Chamba,1973-6-1,98.808
Chamba,1973-7-1,215.198
Chamba,1973-8-1,88.542
Chamba,1973-9-1,79.285
Chamba,1973-10-1,1.449
